id,status,status_desc,alert_geometry_id,alert_code,source,detected_year,detected_at,area_ha,biome_id,biome,biome_area,state_id,state,state_area,city_id,city,city_area,conservation_unit_id,conservation_unit,conservation_unit_area,indigenous_land_id,indigenous_land,indigenous_land_area,quilombo_id,quilombo,quilombo_area,settlement_id,settlement,settlement_area,watershed_l1_id,watershed_l1,watershed_l1_area,watershed_l2_id,watershed_l2,watershed_l2_area,car_count,car_area_max,car_area_min,car_area_sum,car_area_sum_adj,legal_reserve_count,legal_reserve_area_max,legal_reserve_area_min,legal_reserve_area_sum,legal_reserve_area_sum_adj,ppa_count,ppa_area_max,ppa_area_min,ppa_area_sum,ppa_area_sum_adj,river_source_count,def_uas,def_uas_area,def_asv,def_asv_area,def_pmfs,def_pmfs_area,def_poa,def_poa_area,def_efp,def_efp_area,embargoed_properties_count,embargoed_properties_count_area,embargoed_properties_area_min,embargoed_properties_area_max,embargoed_properties_area_sum,before_dt,after_dt,days_interval
796458,published,published,1179431,796458,{SAD-MATA-ATLANTICA},2022,2022-12-31,0.1357,18416,MATA ATLÂNTICA,0.1357,18392,SÃO PAULO,0.1357,16101,Piracicaba,0.1357,,,,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,0.1357305,14663.0,Tietê,0.1357305,1,0.1357,0.1357,0.1357,,1,0.1357,0.1357,0.1357,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,2022-09-17,2022-11-08,52.0
953595,published,published,1701085,953595,{SAD-MATA-ATLANTICA},2023,2023-08-31,0.2199,18416,MATA ATLÂNTICA,0.2199,18392,SÃO PAULO,0.2199,18207,São Paulo,0.2199,,,,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,0.2198902,14663.0,Tietê,0.2198902,1,0.2199,0.2199,0.2199,,0,,,,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,2023-05-08,2023-07-24,77.0
631610,published,published,1385806,631610,{SAD-MATA-ATLANTICA},2022,2022-08-31,0.1716,18416,MATA ATLÂNTICA,0.1716,18392,SÃO PAULO,0.1716,20438,Campinas,0.1716,,,,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,0.1715572,14663.0,Tietê,0.1715572,1,0.1716,0.1716,0.1716,,1,0.1716,0.1716,0.1716,,1,0.1716,0.1716,0.1716,,0,0,,0,,0,,0,,0,,0,0,,,,2022-01-25,2022-05-20,115.0
208353,published,published,1333322,208353,{GLAD},2020,2020-08-28,5.5699,18416,MATA ATLÂNTICA,5.5699,18392,SÃO PAULO,5.5699,19125,Natividade da Serra,5.5699,,,,,,,,,,,,,14623.0,Região Hidrográfica Atlântico Sudeste,5.569853,14700.0,Paraíba do Sul,5.569853,3,5.5699,5.5699,16.7096,5.5699,0,,,,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,2020-06-01,2020-09-25,116.0
228970,published,published,1548662,228970,{GLAD},2020,2020-09-04,11.4023,18416,MATA ATLÂNTICA,11.4023,18392,SÃO PAULO,11.4023,19350,Tapiraí,11.4023,,,,,,,,,,,,,14623.0,Região Hidrográfica Atlântico Sudeste,11.4023236,14607.0,Ribeira do Iguape,11.4023236,1,2.8657,2.8657,2.8657,,0,,,,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,2020-08-10,2020-11-07,89.0
251587,published,published,1381681,251587,{GLAD},2020,2020-10-29,2.8059,18416,MATA ATLÂNTICA,2.8059,18392,SÃO PAULO,2.8059,15413,Barra do Turvo,2.8059,12977.0,PARQUE ESTADUAL CAVERNA DO DIABO,0.0954,,,,,,,,,,14623.0,Região Hidrográfica Atlântico Sudeste,2.8058874,14607.0,Ribeira do Iguape,2.8058874,1,2.8059,2.8059,2.8059,,0,,,,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,2020-04-03,2020-09-26,176.0
271590,published,published,1397832,271590,{GLAD},2020,2020-11-08,2.9272,18416,MATA ATLÂNTICA,2.9272,18392,SÃO PAULO,2.9272,21327,Paraibuna,2.9272,13903.0,ÁREA DE PROTEÇÃO AMBIENTAL BACIA DO PARAÍBA DO SUL,2.9272,,,,,,,,,,14623.0,Região Hidrográfica Atlântico Sudeste,2.9271506,14700.0,Paraíba do Sul,2.9271506,0,,,,,0,,,,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,2020-07-05,2020-11-06,124.0
271621,published,published,1493312,271621,{GLAD},2020,2020-11-15,1.9185,18416,MATA ATLÂNTICA,1.9185,18392,SÃO PAULO,1.9185,19880,Pedro de Toledo,1.9185,13111.0,APA SERRA DO MAR,1.9185,,,,,,,,,,14623.0,Região Hidrográfica Atlântico Sudeste,1.9184712,14607.0,Ribeira do Iguape,1.9184712,1,1.9185,1.9185,1.9185,,0,,,,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,2020-09-03,2020-11-25,83.0
357301,published,published,1541999,357301,{PRODES-CERR},2020,2020-01-01,62.7881,18416,MATA ATLÂNTICA,11.4003,18392,SÃO PAULO,62.7881,18736,Iaras,34.8995,,,,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,62.788123,14599.0,Paranapanema,62.788123,38,22.939,0.0142,103.7156,62.7881,3,5.3595,0.0068,5.3876,,20,4.649,0.0053,17.6233,,1,0,,0,,0,,0,,0,,0,0,,,,2020-06-17,2020-07-22,35.0
387563,published,published,1439070,387563,{PRODES-CERR},2020,2020-01-01,2.7598,18415,CERRADO,2.7598,18392,SÃO PAULO,2.7598,19460,Paranapanema,2.7598,,,,,,,,,,,,,14621.0,Região Hidrográfica do Paraná,2.7598438,14599.0,Paranapanema,2.7598438,5,2.7598,0.2085,8.4913,2.7598,1,2.7405,2.7405,2.7405,,0,,,,,0,0,,0,,0,,0,,0,,0,0,,,,2020-01-28,2020-05-20,113.0
